;CLSTR367;CLSTR737;CLSTR1814;CLSTR849;CLSTR1052;CLSTR1843;CLSTR1880;CLSTR170;CLSTR1336;CLSTR853;CLSTR150;CLSTR1224;CLSTR1818;CLSTR1232;CLSTR392;CLSTR1588;CLSTR1072;CLSTR2062;CLSTR2127;CLSTR58;CLSTR428;CLSTR644;CLSTR604;CLSTR2130;CLSTR1570;CLSTR192;CLSTR350;CLSTR1024;CLSTR583;CLSTR491;CLSTR813;CLSTR540;CLSTR1008;CLSTR110;CLSTR278;CLSTR782;CLSTR151;CLSTR690;CLSTR413;CLSTR1317;CLSTR1028;CLSTR1182;CLSTR1585;CLSTR1090;CLSTR1213;CLSTR1004;CLSTR235;CLSTR2151;CLSTR1268;CLSTR848;CLSTR1403;CLSTR1415;CLSTR1679;CLSTR2147;CLSTR223;CLSTR1291;CLSTR947;CLSTR697;CLSTR2009;CLSTR1367;CLSTR1672;CLSTR1408;CLSTR1371;CLSTR951;CLSTR547;CLSTR838;CLSTR1865;CLSTR2033;CLSTR642;CLSTR204;CLSTR654;CLSTR195;CLSTR746;CLSTR603;CLSTR253;CLSTR731;CLSTR1804;CLSTR859;CLSTR1003;CLSTR1613;CLSTR567;CLSTR1886;CLSTR1605;CLSTR1039;CLSTR434;CLSTR931;CLSTR1468;CLSTR659;CLSTR566;CLSTR423;CLSTR1612;CLSTR1757;CLSTR1429;CLSTR1096;CLSTR1215;CLSTR2069;CLSTR2086;CLSTR248;CLSTR399;CLSTR1405;CLSTR1413;CLSTR788;CLSTR1852;CLSTR1014;CLSTR225;CLSTR675;CLSTR1063;CLSTR1576;CLSTR2024;CLSTR205;CLSTR655;CLSTR2032;CLSTR993;CLSTR614;CLSTR1130;CLSTR1560;CLSTR395;CLSTR73;CLSTR1409;CLSTR442;CLSTR679;CLSTR1331;CLSTR383;CLSTR197;CLSTR178;CLSTR482;CLSTR1430;CLSTR528;CLSTR1060;CLSTR713;CLSTR1172;CLSTR2031;CLSTR586;CLSTR1021;CLSTR990;CLSTR494;CLSTR115;CLSTR1373;CLSTR27;CLSTR31;CLSTR154;CLSTR380;CLSTR1762;CLSTR2139;CLSTR1257;CLSTR1241;CLSTR498;CLSTR549;CLSTR2046;CLSTR158;CLSTR508;CLSTR1447;CLSTR676;CLSTR84;CLSTR1942;CLSTR1807;CLSTR1811;CLSTR2010;CLSTR2084;CLSTR499;CLSTR51;CLSTR1885;CLSTR175;CLSTR88;CLSTR417;CLSTR1221;CLSTR1364;CLSTR905;CLSTR544;CLSTR1149;CLSTR378;CLSTR1775;CLSTR1831;CLSTR1020;CLSTR1759;CLSTR704;CLSTR1061;CLSTR600;CLSTR2134;CLSTR522;CLSTR349;CLSTR975;CLSTR1093;CLSTR471;CLSTR1640;CLSTR1142;CLSTR1400;CLSTR1115;CLSTR2040;CLSTR631;CLSTR277;CLSTR735;CLSTR1338;CLSTR312;CLSTR2076;CLSTR2021;CLSTR1031;CLSTR611;CLSTR538;CLSTR1637;CLSTR113;CLSTR1230;CLSTR847;CLSTR514;CLSTR451;CLSTR1226;CLSTR1699;CLSTR914;CLSTR447;CLSTR806;CLSTR555;CLSTR692;CLSTR387;CLSTR1227;CLSTR780;CLSTR779;CLSTR1909;CLSTR1134;CLSTR1564;CLSTR169;CLSTR610;CLSTR581;CLSTR352;CLSTR893;CLSTR256;CLSTR743;CLSTR1339;CLSTR1694;CLSTR1397;CLSTR149;CLSTR1790;CLSTR1513;CLSTR165;CLSTR348;CLSTR1483;CLSTR1342
CLSTR367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.331327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.296448;0;0;0;0;0.308021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.290472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.336743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR1814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.297206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.357825;0;0;0;0;0;0;0;0;0;0;0.360629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.300511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.408986;0;0;0;0;0;0;0;0.299262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR1052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.294884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR1843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.361135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.349044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR1880;0;0;0;0;0;0;0;0;0;0.316521;0;0.289941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.316804;0;0;0;0;0;0.298263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.309202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.529487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.401713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.513515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR1336;0;0;0;0;0;0;0;0;0;0;0.295691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.447932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.441156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.443278;0;0;0;0;0;0;0;0;0;0;0;0;0;0.445783;0;0;0;0.300618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLSTR853;0;0;0;0;0;0;0.316521;0;0;0;0;0.242761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.221335;0;0;0;0;0;0.235696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.200498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.277612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
